Index,Group 分榜,Rank 排名,Title 电影,Score 打分,Region 地区,Genre 类型,Staff 人员
172,豆瓣2020最值得期待华语电影,8,英格力士, ,中国大陆, ,陈冲 / 王志文 / 袁泉
173,豆瓣2020最值得期待华语电影,9,749局, ,中国大陆, ,陆川 / 王俊凯 / 苗苗
174,豆瓣2020最值得期待华语电影,10,大护法2, ,中国大陆, ,不思凡
175, , , , , , , 
176,豆瓣2020最值得期待外语电影,1,黑寡妇,6.20,美国, ,凯特·绍特兰 / 斯嘉丽·约翰逊 / 弗洛伦丝·皮尤
177,豆瓣2020最值得期待外语电影,2,花木兰,4.90,美国 中国香港, ,妮琪·卡罗 / 刘亦菲 / 甄子丹
178,豆瓣2020最值得期待外语电影,3,新变种人,4.40,美国, ,约什·布恩 / 麦茜·威廉姆斯 / 安雅·泰勒-乔伊
179,豆瓣2020最值得期待外语电影,4,沙丘,7.70,美国, ,丹尼斯·维伦纽瓦 / 提莫西·查拉梅 / 丽贝卡·弗格森
180,豆瓣2020最值得期待外语电影,5,毒液2,5.00,美国 中国大陆, ,安迪·瑟金斯 / 汤姆·哈迪 / 伍迪·哈里森
181,豆瓣2020最值得期待外语电影,6,速度与激情9,5.10,美国, ,林诣彬 / 范·迪塞尔 / 约翰·塞纳
182,豆瓣2020最值得期待外语电影,7,新·福音战士剧场版：终,9.20,日本, ,庵野秀明 / 绪方惠美 / 林原惠美
183,豆瓣2020最值得期待外语电影,8,信条,7.60,美国 英国, ,克里斯托弗·诺兰 / 约翰·大卫·华盛顿 / 罗伯特·帕丁森
184,豆瓣2020最值得期待外语电影,9,猛禽小队和哈莉·奎茵,5.90,美国, ,阎羽茜 / 玛格特·罗比 / 玛丽·伊丽莎白·温斯特德
185,豆瓣2020最值得期待外语电影,10,王牌特工：源起,5.30,英国 美国, ,马修·沃恩 / 拉尔夫·费因斯 / 哈里斯·迪金森
186, , , , , , , 
187,豆瓣2019年度电影,1,流浪地球,7.90,中国大陆, ,郭帆 / 吴京 / 屈楚萧
188,豆瓣2019年度电影,2,哪吒之魔童降世,8.40,中国大陆, ,饺子 / 吕艳婷 / 囧森瑟夫
189,豆瓣2019年度电影,3,绿皮书,8.90,美国 中国大陆, ,彼得·法雷里 / 维果·莫腾森 / 马赫沙拉·阿里
190,豆瓣2019年度电影,4,少年的你,8.20,中国大陆 中国香港, ,曾国祥 / 周冬雨 / 易烊千玺
191,豆瓣2019年度电影,5,寄生虫,8.80,韩国, ,奉俊昊 / 宋康昊 / 李善均
192,豆瓣2019年度电影,6,复仇者联盟4：终局之战,8.50,美国, ,安东尼·罗素 / 小罗伯特·唐尼 / 克里斯·埃文斯
193,豆瓣2019年度电影,7,何以为家,9.10,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国, ,娜丁·拉巴基 / 赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗
194,豆瓣2019年度电影,8,小丑,8.70,美国 加拿大, ,托德·菲利普斯 / 华金·菲尼克斯 / 罗伯特·德尼罗
195,豆瓣2019年度电影,9,我和我的祖国,7.60,中国大陆, ,陈凯歌 / 黄渤 / 张译
196,豆瓣2019年度电影,10,调音师,8.20,印度, ,斯里兰姆·拉格万 / 阿尤斯曼·库拉纳 / 塔布
197,豆瓣2019年度电影,11,飞驰人生,6.90,中国大陆, ,韩寒 / 沈腾 / 黄景瑜
198,豆瓣2019年度电影,12,误杀,7.50,中国大陆, ,柯汶利 / 肖央 / 谭卓
199,豆瓣2019年度电影,13,利刃出鞘,8.10,美国, ,莱恩·约翰逊 / 丹尼尔·克雷格 / 安娜·德·阿玛斯
200,豆瓣2019年度电影,14,白蛇：缘起,7.80,中国大陆 美国, ,黄家康 / 张喆 / 杨天翔
201,豆瓣2019年度电影,15,疯狂的外星人,6.40,中国大陆, ,宁浩 / 黄渤 / 沈腾
202,豆瓣2019年度电影,16,蜘蛛侠：平行宇宙,8.60,美国, ,鲍勃·佩尔西凯蒂 / 沙梅克·摩尔 / 杰克·约翰逊
203,豆瓣2019年度电影,17,波西米亚狂想曲,8.60,英国 美国, ,布莱恩·辛格 / 拉米·马雷克 / 本·哈迪
