Index,排名,电影名,豆瓣电影,豆瓣年份,豆瓣ID,豆瓣打分,导演,类型,地区
87,86,86、《家族游戏》（森田芳光，1983）,家族游戏 家族ゲーム,1983,[1305550](https://movie.douban.com/subject/1305550/),7.7,森田芳光,喜剧 / 剧情,日本
88,86,86、《颜役》（石井辉男，1965）,顔役,1965,[3358606](https://movie.douban.com/subject/3358606/), ,石井輝男, ,日本
89,86,86、《往昔的歌》（石田民三，1939）,往昔之歌 Mukashi no uta,1939,[3718145](https://movie.douban.com/subject/3718145/), ,石田民三（Tamizo Ishida ）, ,日本
90,91,91、《多谢先生》（清水宏，1936）,多谢先生 有りがたうさん,1936,[1401877](https://movie.douban.com/subject/1401877/),7.9,清水宏,剧情,日本
91,91,91、《人斩与太，狂犬三兄弟》（深作欣二，1972）,杀手与太：狂犬三兄弟 人斬り与太 狂犬三兄弟,1972,[1777405](https://movie.douban.com/subject/1777405/),7.3,深作欣二,动作 / 犯罪,日本
92,91,91、《东京流浪者》（铃木清顺，1966）,东京流浪汉 東京流れ者,1966,[1296517](https://movie.douban.com/subject/1296517/),7.0,铃木清顺,动作 / 犯罪,日本
93,91,91、《爱神+屠杀》（吉田喜重，1970）,情欲与虐杀 エロス+虐殺,1969,[1439858](https://movie.douban.com/subject/1439858/),7.6,吉田喜重,剧情 / 传记,日本
94,91,91、《风之谷》（宫崎骏，1984）,风之谷 風の谷のナウシカ,1984,[1291585](https://movie.douban.com/subject/1291585/),8.9,宫崎骏,动画 / 奇幻 / 冒险,日本
95,91,91、《东京兄妹》（市川准，1995）,东京兄妹 東京兄妹,1995,[1417916](https://movie.douban.com/subject/1417916/),8.2,市川准,剧情,日本
96,91,91、《我要复仇》（今村昌平，1979）,复仇在我 復讐するは我にあり,1979,[1294940](https://movie.douban.com/subject/1294940/),8.5,今村昌平,剧情 / 犯罪,日本
97,91,91、《杀人狂时代》（冈本喜八，1967）,杀人狂时代 殺人狂時代,1967,[3718184](https://movie.douban.com/subject/3718184/),7.7,冈本喜八,喜剧 / 动作,日本
98,91,91、《楢山节考》（木下惠介，1958）,楢山节考 楢山節考,1958,[1294737](https://movie.douban.com/subject/1294737/),8.7,木下惠介,剧情,日本
99,100,100、《乱云》（成濑巳喜男，1967）,乱云 乱れ雲,1967,[1302082](https://movie.douban.com/subject/1302082/),8.4,成濑巳喜男,剧情,日本
100,100,100、《暗无天日》（今井正，1956）,正午的黑暗 真昼の暗黒,1956,[1547206](https://movie.douban.com/subject/1547206/), ,今井正,剧情,日本
101,100,100、《日本最长的一天》（冈本喜八，1967）,日本最长的一天 日本のいちばん長い日,1967,[1301130](https://movie.douban.com/subject/1301130/),8.0,冈本喜八,剧情 / 历史 / 战争,日本
102,100,100、《日本国，古住宅村》（小川绅介，1982）,日本国 古屋敷村 ニッポン国 古屋敷村,1982,[3086804](https://movie.douban.com/subject/3086804/),8.9,小川绅介,纪录片,日本
103,100,100、《盗日者》（长谷川和彦，1979）,盗日者 太陽を盗んだ男,1979,[1300578](https://movie.douban.com/subject/1300578/),8.3,长谷川和彦,动作 / 犯罪 / 惊悚,日本
104,100,100、《隔壁的八重子》（岛津保次郎，1934）,隔壁的八重 隣の八重ちゃん,1934,[3523699](https://movie.douban.com/subject/3523699/),7.5,島津保次郎,喜剧 / 剧情,日本
105,100,100、《龙猫》（宫崎骏，1988）,龙猫 となりのトトロ,1988,[1291560](https://movie.douban.com/subject/1291560/),9.2,宫崎骏,动画 / 奇幻 / 冒险,日本
106,100,100、《妻子的告白》（增村保造，1961）,妻之告白 妻は告白する,1961,[1440599](https://movie.douban.com/subject/1440599/),8.1,增村保造,剧情 / 悬疑,日本
