index,Cover 海报,Rank 排名,Title 电影,Director 导演,Score 打分,Year 年份,Region 地区,Genre 类型,Staff 人员
81,![1026227](https://media.themoviedb.org/t/p/w220_and_h330_face/4Hi7yjiQjokEDStT1MOj5rPgRfW.jpg),82,[There's Still Tomorrow](https://www.themoviedb.org/movie/1026227), ,🌟82.78,2023, , , 
82,![447362](https://media.themoviedb.org/t/p/w220_and_h330_face/bP7u19opmHXYeTCUwGjlLldmUMc.jpg),83,[Life in a Year](https://www.themoviedb.org/movie/447362), ,🌟83.00,2020, , , 
83,![632632](https://media.themoviedb.org/t/p/w220_and_h330_face/3trPz7muDOv4AHjDZiD3MLGls2Q.jpg),84,[Given](https://www.themoviedb.org/movie/632632), ,🌟83.00,2020, , , 
84,![527641](https://media.themoviedb.org/t/p/w220_and_h330_face/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg),85,[Five Feet Apart](https://www.themoviedb.org/movie/527641), ,🌟83.00,2019, , , 
85,![975](https://media.themoviedb.org/t/p/w220_and_h330_face/p7OHwomA8UOhe3EhckF2IetBTh9.jpg),86,[Paths of Glory](https://www.themoviedb.org/movie/975), ,🌟83.00,1957, , , 
86,![1585](https://media.themoviedb.org/t/p/w220_and_h330_face/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg),87,[It's a Wonderful Life](https://www.themoviedb.org/movie/1585), ,🌟82.70,1946, , , 
87,![637920](https://media.themoviedb.org/t/p/w220_and_h330_face/bOth4QmNyEkalwahfPCfiXjNh1r.jpg),88,[Miracle in Cell No. 7](https://www.themoviedb.org/movie/637920), ,🌟83.00,2019, , , 
88,![25237](https://media.themoviedb.org/t/p/w220_and_h330_face/qNbMsKVzigERgJUbwf8pKyZogpb.jpg),89,[Come and See](https://www.themoviedb.org/movie/25237), ,🌟83.00,1985, , , 
89,![10376](https://media.themoviedb.org/t/p/w220_and_h330_face/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg),90,[The Legend of 1900](https://www.themoviedb.org/movie/10376), ,🌟83.00,1998, , , 
90,![670](https://media.themoviedb.org/t/p/w220_and_h330_face/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg),91,[Oldboy](https://www.themoviedb.org/movie/670), ,🌟82.62,2003, , , 
91,![533514](https://media.themoviedb.org/t/p/w220_and_h330_face/fwSonK8WrAEqWY7sqjvGRCgzIij.jpg),92,[Violet Evergarden: The Movie](https://www.themoviedb.org/movie/533514), ,🌟83.00,2020, , , 
92,![8587](https://media.themoviedb.org/t/p/w220_and_h330_face/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg),93,[The Lion King](https://www.themoviedb.org/movie/8587), ,🌟83.00,1994, , , 
93,![299534](https://media.themoviedb.org/t/p/w220_and_h330_face/or06FN3Dka5tukK1e9sl16pB3iy.jpg),94,[Avengers: Endgame](https://www.themoviedb.org/movie/299534), ,🌟82.56,2019, , , 
94,![630566](https://media.themoviedb.org/t/p/w220_and_h330_face/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg),95,[Clouds](https://www.themoviedb.org/movie/630566), ,🌟83.00,2020, , , 
95,![283566](https://media.themoviedb.org/t/p/w220_and_h330_face/md5wZRRj8biHrGtyitgBZo7674t.jpg),96,[Evangelion: 3.0+1.0 Thrice Upon a Time](https://www.themoviedb.org/movie/283566), ,🌟83.00,2021, , , 
96,![508965](https://media.themoviedb.org/t/p/w220_and_h330_face/q125RHUDgR4gjwh1QkfYuJLYkL.jpg),97,[Klaus](https://www.themoviedb.org/movie/508965), ,🌟82.00,2019, , , 
97,![299536](https://media.themoviedb.org/t/p/w220_and_h330_face/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg),98,[Avengers: Infinity War](https://www.themoviedb.org/movie/299536), ,🌟82.48,2018, , , 
98,![42269](https://media.themoviedb.org/t/p/w220_and_h330_face/zGGWYpiKNwjpKxelPxOMqJnUgDs.jpg),99,[We All Loved Each Other So Much](https://www.themoviedb.org/movie/42269), ,🌟82.00,1974, , , 
99,![618344](https://media.themoviedb.org/t/p/w220_and_h330_face/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg),100,[Justice League Dark: Apokolips War](https://www.themoviedb.org/movie/618344), ,🌟82.00,2020, , , 
100,![475557](https://media.themoviedb.org/t/p/w220_and_h330_face/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg),161,[Joker](https://www.themoviedb.org/movie/475557), ,🌟81.63,2019, , , 
101,![872](https://media.themoviedb.org/t/p/w220_and_h330_face/w03EiJVHP8Un77boQeE7hg9DVdU.jpg),162,[Singin' in the Rain](https://www.themoviedb.org/movie/872), ,🌟82.00,1952, , , 
102,![606856](https://media.themoviedb.org/t/p/w220_and_h330_face/wX0QD36a80hxulcizz7tyahYOF8.jpg),163,[Togo](https://www.themoviedb.org/movie/606856), ,🌟82.00,2019, , , 
103,![593691](https://media.themoviedb.org/t/p/w220_and_h330_face/nKdP4K3Bj3qnjtDCq9lTg7UOHVy.jpg),164,[Homecoming: A Film by Beyoncé](https://www.themoviedb.org/movie/593691), ,🌟82.00,2019, , , 
104,![133919](https://media.themoviedb.org/t/p/w220_and_h330_face/ArKEdvJesIktFX8OAhcdKAOLl6I.jpg),165,[Scenes from a Marriage](https://www.themoviedb.org/movie/133919), ,🌟82.00,1974, , , 
105,![103](https://media.themoviedb.org/t/p/w220_and_h330_face/ekstpH614fwDX8DUln1a2Opz0N8.jpg),166,[Taxi Driver](https://www.themoviedb.org/movie/103), ,🌟81.54,1976, , , 
106,![517814](https://media.themoviedb.org/t/p/w220_and_h330_face/mFnfTVADj8yOxwzprYOmTPselk8.jpg),167,[Capernaum](https://www.themoviedb.org/movie/517814), ,🌟82.00,2018, , , 
107,![399106](https://media.themoviedb.org/t/p/w220_and_h330_face/rfEkkVzmrMYqGezNLl02mVyJCP2.jpg),168,[Piper](https://www.themoviedb.org/movie/399106), ,🌟82.00,2016, , , 
108,![489](https://media.themoviedb.org/t/p/w220_and_h330_face/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg),169,[Good Will Hunting](https://www.themoviedb.org/movie/489), ,🌟82.00,1997, , , 
109,![398818](https://media.themoviedb.org/t/p/w220_and_h330_face/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg),170,[Call Me by Your Name](https://www.themoviedb.org/movie/398818), ,🌟82.00,2017, , , 
110,![348](https://media.themoviedb.org/t/p/w220_and_h330_face/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg),171,[Alien](https://www.themoviedb.org/movie/348), ,🌟82.00,1979, , , 
111,![666](https://media.themoviedb.org/t/p/w220_and_h330_face/zJvp7XjQ2LhPbDVYhFXyucs40vR.jpg),172,[Central Station](https://www.themoviedb.org/movie/666), ,🌟81.00,1998, , , 
112,![531428](https://media.themoviedb.org/t/p/w220_and_h330_face/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg),173,[Portrait of a Lady on Fire](https://www.themoviedb.org/movie/531428), ,🌟81.00,2019, , , 
113,![81481](https://media.themoviedb.org/t/p/w220_and_h330_face/mbMp0oIFmYnw0i5gzRoKt8cH5ve.jpg),174,[Silenced](https://www.themoviedb.org/movie/81481), ,🌟81.00,2011, , , 
114,![762975](https://media.themoviedb.org/t/p/w220_and_h330_face/4JyNWkryifWbWXJyxcWh3pVya6N.jpg),175,[Purple Hearts](https://www.themoviedb.org/movie/762975), ,🌟81.00,2022, , , 
115,![55823](https://media.themoviedb.org/t/p/w220_and_h330_face/aDvKsUb5y7GMNMz2HHNtuGww5t8.jpg),176,[The Great War](https://www.themoviedb.org/movie/55823), ,🌟81.00,1959, , , 
116,![406997](https://media.themoviedb.org/t/p/w220_and_h330_face/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg),177,[Wonder](https://www.themoviedb.org/movie/406997), ,🌟81.00,2017, , , 
117,![37165](https://media.themoviedb.org/t/p/w220_and_h330_face/vuza0WqY239yBXOadKlGwJsZJFE.jpg),178,[The Truman Show](https://www.themoviedb.org/movie/37165), ,🌟81.40,1998, , , 
118,![20914](https://media.themoviedb.org/t/p/w220_and_h330_face/8Pm8SLjq2UHCwisd56ipHtzvZI1.jpg),179,[My Friends](https://www.themoviedb.org/movie/20914), ,🌟81.34,1975, , , 
119,![19](https://media.themoviedb.org/t/p/w220_and_h330_face/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg),180,[Metropolis](https://www.themoviedb.org/movie/19), ,🌟81.00,1927, , , 
120,![755812](https://media.themoviedb.org/t/p/w220_and_h330_face/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg),181,"[Miraculous World: New York, United HeroeZ](https://www.themoviedb.org/movie/755812)", ,🌟81.00,2020, , , 
121,![508442](https://media.themoviedb.org/t/p/w220_and_h330_face/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg),182,[Soul](https://www.themoviedb.org/movie/508442), ,🌟81.36,2020, , , 
122,![470044](https://media.themoviedb.org/t/p/w220_and_h330_face/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg),183,[The Hate U Give](https://www.themoviedb.org/movie/470044), ,🌟81.00,2018, , , 
123,![458220](https://media.themoviedb.org/t/p/w220_and_h330_face/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg),184,[Palmer](https://www.themoviedb.org/movie/458220), ,🌟81.00,2021, , , 
124,![600](https://media.themoviedb.org/t/p/w220_and_h330_face/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg),185,[Full Metal Jacket](https://www.themoviedb.org/movie/600), ,🌟81.00,1987, , , 
